name,f_nom,r_per_length,x_per_length,c_per_length,i_nom,mounting,cross_section,references
NA2XS2Y1x400,50.0,0.085,0.09896016858807849,542.0,529.0,cable,400.0,custom
NA2XS2Y1x500,50.0,0.069,0.09613273519984768,603.0,602.0,cable,500.0,custom
NA2XS2Y1x050,50.0,0.644,0.14514158059584847,171.0,172.0,cable,50.0,custom
NA2XS2Y1x070,50.0,0.446,0.136973439696515,191.0,210.0,cable,70.0,custom
NA2XS2Y1x095,50.0,0.32299999999999995,0.13006193585861744,212.0,251.0,cable,95.0,custom
NA2XS2Y1x120,50.0,0.256,0.12503538761287375,231.0,285.0,cable,120.0,custom
NA2XS2Y1x150,50.0,0.21100000000000002,0.12095131716320703,249.0,319.0,cable,150.0,custom
NA2XS2Y1x185,50.0,0.16899999999999998,0.11686724671354033,270.0,361.0,cable,185.0,custom
NA2XS2Y1x240,50.0,0.13,0.11215485773315564,298.0,417.0,cable,240.0,custom
NA2XS2Y1x300,50.0,0.106,0.10901326507956584,325.0,471.0,cable,300.0,custom
NA2XS2Y1x400,50.0,0.085,0.10587167242597605,358.0,535.0,cable,400.0,custom
NA2XS2Y1x500,50.0,0.069,0.10210176124166828,396.0,609.0,cable,500.0,custom
NA2XS2Y1x050,50.0,0.644,0.15488051782197682,133.0,175.0,cable,50.0,custom
NA2XS2Y1x070,50.0,0.446,0.1460840583919254,148.0,213.0,cable,70.0,custom
NA2XS2Y1x095,50.0,0.32299999999999995,0.13885839528866886,163.0,254.0,cable,95.0,custom
NA2XS2Y1x120,50.0,0.256,0.1341460063082842,176.0,289.0,cable,120.0,custom
NA2XS2Y1x150,50.0,0.21100000000000002,0.13006193585861744,188.0,322.0,cable,150.0,custom
NA2XS2Y1x185,50.0,0.16899999999999998,0.12503538761287375,203.0,364.0,cable,185.0,custom
NA2XS2Y1x240,50.0,0.13,0.12000883936713011,223.0,422.0,cable,240.0,custom
NA2XS2Y1x300,50.0,0.106,0.11592476891746337,241.0,476.0,cable,300.0,custom
NA2XS2Y1x400,50.0,0.085,0.11215485773315564,264.0,541.0,cable,400.0,custom
NA2XS2Y1x500,50.0,0.069,0.10807078728348889,291.0,616.0,cable,500.0,custom
NA2XS2Y1x150,50.0,0.21100000000000002,0.1379159174925919,170.0,320.0,cable,150.0,custom
NA2XS2Y1x240,50.0,0.13,0.1291194580625405,200.0,404.0,cable,240.0,custom
NA2XS2Y1x300,50.0,0.106,0.12597786540895073,210.0,450.0,cable,300.0,custom
NA2XS2Y1x400,50.0,0.085,0.11906636157105316,240.0,510.0,cable,400.0,custom
NA2XS2Y1x500,50.0,0.069,0.11592476891746337,260.0,563.0,cable,500.0,custom
NA2XS2Y1x630,50.0,0.049,0.10995574287564276,290.0,624.0,cable,630.0,custom
NA2XS2Y1x800,50.0,0.04,0.10712830948741195,320.0,617.0,cable,800.0,custom
NA2XS2Y1x1000,50.0,0.033,0.10398671683382216,350.0,699.0,cable,1000.0,custom
NA2XS2Y1x240,50.0,0.13,0.14514158059584847,140.0,398.0,cable,240.0,custom
NA2XS2Y1x300,50.0,0.106,0.1379159174925919,150.0,444.0,cable,300.0,custom
NA2XS2Y1x400,50.0,0.085,0.13194689145077132,160.0,498.0,cable,400.0,custom
NA2XS2Y1x500,50.0,0.069,0.1291194580625405,180.0,554.0,cable,500.0,custom
NA2XS2Y1x630,50.0,0.049,0.1231504320207199,200.0,614.0,cable,630.0,custom
NA2XS2Y1x800,50.0,0.04,0.11906636157105316,220.0,671.0,cable,800.0,custom
NA2XS2Y1x1000,50.0,0.033,0.11592476891746337,230.0,750.0,cable,1000.0,custom
NAYY4x050,50.0,0.6409999999999999,0.08482300164692443,670.0,141.0,cable,50.0,custom
NAYY4x070,50.0,0.44299999999999995,0.08230972752405259,750.0,176.0,cable,70.0,custom
NAYY4x095,50.0,0.32,0.08199556825869361,770.0,211.0,cable,95.0,custom
NAYY4x120,50.0,0.253,0.0804247719318987,840.0,240.0,cable,120.0,custom
NAYY4x150,50.0,0.20600000000000002,0.0804247719318987,830.0,270.0,cable,150.0,custom
NAYY4x185,50.0,0.16399999999999998,0.0804247719318987,830.0,307.0,cable,185.0,custom
